"idrefformula","idherbsmed","idcrude","composition","unit"
"F00787","J00787","S00377","",""
"F00787","J00787","S00756","",""
"F00787","J00787","S00821","",""
"F00788","J00788","S00216","",""
"F00788","J00788","S00779","",""
"F00788","J00788","S01041","",""
"F00789","J00789","S00466","",""
"F00789","J00789","S00779","",""
"F00789","J00789","S01041","",""
"F00790","J00790","S00547","",""
"F00790","J00790","S01041","",""
"F00790","J00790","S01051","",""
"F00791","J00791","S00147","",""
"F00791","J00791","S00168","",""
"F00791","J00791","S00483","",""
"F00791","J00791","S00537","",""
"F00791","J00791","S01130","",""
"F00792","J00792","S00012","",""
"F00792","J00792","S00325","",""
"F00792","J00792","S00908","",""
"F00792","J00792","S01130","",""
"F00793","J00793","S00319","",""
"F00793","J00793","S00431","",""
"F00793","J00793","S00604","",""
"F00793","J00793","S00687","",""
"F00793","J00793","S00927","",""
"F00794","J00794","S00333","",""
"F00794","J00794","S00687","",""
"F00794","J00794","S00709","",""
"F00794","J00794","S00808","",""
"F00794","J00794","S01076","",""
"F00795","J00795","S00034","",""
"F00795","J00795","S00036","",""
"F00795","J00795","S00064","",""
"F00796","J00796","S00130","",""
"F00796","J00796","S00216","",""
"F00796","J00796","S00325","",""
"F00796","J00796","S00931","",""
"F00797","J00797","S00012","",""
"F00797","J00797","S00051","",""
"F00797","J00797","S00213","",""
"F00797","J00797","S00429","",""
"F00798","J00798","S00058","",""
"F00798","J00798","S00195","",""
"F00798","J00798","S00562","",""
"F00798","J00798","S00573","",""
"F00798","J00798","S00756","",""
"F00798","J00798","S01128","",""
"F00799","J00799","S00017","",""
"F00799","J00799","S00174","",""
"F00799","J00799","S00318","",""
"F00799","J00799","S00436","",""
"F00799","J00799","S00888","",""
"F00800","J00800","S00296","",""
"F00800","J00800","S00325","",""
"F00800","J00800","S01062","",""
"F00800","J00800","S01124","",""
"F00800","J00800","S01128","",""
"F00801","J00801","S00130","",""
"F00801","J00801","S00317","",""
"F00801","J00801","S00429","",""
"F00801","J00801","S00436","",""
"F00801","J00801","S00562","",""
"F00801","J00801","S00694","",""
"F00802","J00802","S00192","",""
"F00802","J00802","S00318","",""
"F00802","J00802","S00483","",""
"F00802","J00802","S00537","",""
"F00803","J00803","S00151","",""
"F00803","J00803","S00318","",""
"F00803","J00803","S00749","",""
"F00803","J00803","S00756","",""
"F00804","J00804","S00325","",""
"F00804","J00804","S00573","",""
"F00804","J00804","S00821","",""
"F00804","J00804","S01128","",""
"F00805","J00805","S00058","",""
"F00805","J00805","S00562","",""
"F00805","J00805","S00573","",""
"F00805","J00805","S00756","",""
"F00805","J00805","S00821","",""
"F00806","J00806","S00483","",""
"F00806","J00806","S00756","",""
"F00806","J00806","S00812","",""
"F00806","J00806","S00886","",""
"F00807","J00807","S00318","",""
"F00807","J00807","S00325","",""
"F00807","J00807","S00562","",""
"F00807","J00807","S01035","",""
"F00807","J00807","S01128","",""
"F00808","J00808","S00318","",""
"F00808","J00808","S00812","",""
"F00808","J00808","S00931","",""
"F00808","J00808","S01128","",""
"F00809","J00809","S00051","",""
"F00809","J00809","S00573","",""
"F00809","J00809","S00697","",""
"F00809","J00809","S01128","",""
"F00810","J00810","S00051","",""
"F00810","J00810","S00429","",""
"F00810","J00810","S00562","",""
"F00810","J00810","S00821","",""
"F00810","J00810","S01128","",""
"F00811","J00811","S00098","",""
"F00811","J00811","S00151","",""
"F00811","J00811","S00645","",""
"F00811","J00811","S00748","",""
"F00811","J00811","S00808","",""
"F00811","J00811","S00888","",""
"F00811","J00811","S00892","",""
"F00811","J00811","S01049","",""
"F00812","J00812","S00036","",""
"F00812","J00812","S00051","",""
"F00812","J00812","S00238","",""
"F00812","J00812","S00314","",""
"F00812","J00812","S00317","",""
"F00812","J00812","S00325","",""
"F00812","J00812","S00429","",""
"F00812","J00812","S00562","",""
"F00812","J00812","S00821","",""
"F00812","J00812","S01076","",""
"F00812","J00812","S01123","",""
"F00812","J00812","S01128","",""
"F00813","J00813","S00679","",""
